,Country,Product,Flow,Date,value
0,Austria,"Coal, peat and oil shale",Total energy supply (PJ),2000,150.7438123
1,Austria,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,377.2123669
2,Austria,Oil products,Total energy supply (PJ),2000,113.0706007
3,Austria,Natural gas,Total energy supply (PJ),2000,275.6826009
4,Austria,Nuclear,Total energy supply (PJ),2000,0
5,Austria,Renewables and waste,Total energy supply (PJ),2000,285.737377
6,Austria,Electricity,Total energy supply (PJ),2000,-4.924798862
7,Austria,Heat,Total energy supply (PJ),2000,0.1900011708
8,Austria,Total,Total energy supply (PJ),2000,1197.711968
9,Belgium,"Coal, peat and oil shale",Total energy supply (PJ),2000,335.6592227
10,Belgium,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,1431.524593
11,Belgium,Oil products,Total energy supply (PJ),2000,-482.5296002
12,Belgium,Natural gas,Total energy supply (PJ),2000,559.7145016
13,Belgium,Nuclear,Total energy supply (PJ),2000,525.3490923
14,Belgium,Renewables and waste,Total energy supply (PJ),2000,45.25660333
15,Belgium,Electricity,Total energy supply (PJ),2000,15.57359809
16,Belgium,Heat,Total energy supply (PJ),2000,0
17,Belgium,Total,Total energy supply (PJ),2000,2430.548011
18,Czech Republic,"Coal, peat and oil shale",Total energy supply (PJ),2000,906.1319539
19,Czech Republic,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,254.4959317
20,Czech Republic,Oil products,Total energy supply (PJ),2000,68.77400128
21,Czech Republic,Natural gas,Total energy supply (PJ),2000,314.0163011
22,Czech Republic,Nuclear,Total energy supply (PJ),2000,148.2545461
23,Czech Republic,Renewables and waste,Total energy supply (PJ),2000,71.24640297
24,Czech Republic,Electricity,Total energy supply (PJ),2000,-36.06120148
25,Czech Republic,Heat,Total energy supply (PJ),2000,-0.13900176
26,Czech Republic,Total,Total energy supply (PJ),2000,1726.71893
27,Denmark,"Coal, peat and oil shale",Total energy supply (PJ),2000,166.8892644
28,Denmark,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,390.6761988
29,Denmark,Oil products,Total energy supply (PJ),2000,-54.82300171
30,Denmark,Natural gas,Total energy supply (PJ),2000,186.2694006
31,Denmark,Nuclear,Total energy supply (PJ),2000,0
32,Denmark,Renewables and waste,Total energy supply (PJ),2000,88.91358529
33,Denmark,Electricity,Total energy supply (PJ),2000,2.39399968
34,Denmark,Heat,Total energy supply (PJ),2000,0.1641979224
35,Denmark,Total,Total energy supply (PJ),2000,780.483645
36,Estonia,"Coal, peat and oil shale",Total energy supply (PJ),2000,124.4396886
37,Estonia,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,-4.823813246
38,Estonia,Oil products,Total energy supply (PJ),2000,31.99699935
39,Estonia,Natural gas,Total energy supply (PJ),2000,27.71729845
40,Estonia,Nuclear,Total energy supply (PJ),2000,0
41,Estonia,Renewables and waste,Total energy supply (PJ),2000,21.47199961
42,Estonia,Electricity,Total energy supply (PJ),2000,-3.344399093
43,Estonia,Heat,Total energy supply (PJ),2000,0
44,Estonia,Total,Total energy supply (PJ),2000,197.4577737
45,Finland,"Coal, peat and oil shale",Total energy supply (PJ),2000,213.6753812
46,Finland,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,496.0385197
47,Finland,Oil products,Total energy supply (PJ),2000,-115.5473985
48,Finland,Natural gas,Total energy supply (PJ),2000,143.6255991
49,Finland,Nuclear,Total energy supply (PJ),2000,245.2254564
50,Finland,Renewables and waste,Total energy supply (PJ),2000,327.2550046
51,Finland,Electricity,Total energy supply (PJ),2000,42.76799871
52,Finland,Heat,Total energy supply (PJ),2000,3.008998732
53,Finland,Total,Total energy supply (PJ),2000,1356.049556
54,France,"Coal, peat and oil shale",Total energy supply (PJ),2000,623.2615008
55,France,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,3571.065562
56,France,Oil products,Total energy supply (PJ),2000,-128.656801
57,France,Natural gas,Total energy supply (PJ),2000,1497.468598
58,France,Nuclear,Total energy supply (PJ),2000,4529.040001
59,France,Renewables and waste,Total energy supply (PJ),2000,697.8264997
60,France,Electricity,Total energy supply (PJ),2000,-250.1244017
61,France,Heat,Total energy supply (PJ),2000,0
62,France,Total,Total energy supply (PJ),2000,10539.88096
63,Germany,"Coal, peat and oil shale",Total energy supply (PJ),2000,3551.103833
64,Germany,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,4605.754512
65,Germany,Oil products,Total energy supply (PJ),2000,619.8183979
66,Germany,Natural gas,Total energy supply (PJ),2000,3008.348099
67,Germany,Nuclear,Total energy supply (PJ),2000,1850.247273
68,Germany,Renewables and waste,Total energy supply (PJ),2000,446.503999
69,Germany,Electricity,Total energy supply (PJ),2000,11.00520058
70,Germany,Heat,Total energy supply (PJ),2000,-0.1440007992
71,Germany,Total,Total energy supply (PJ),2000,14092.63731
72,Greece,"Coal, peat and oil shale",Total energy supply (PJ),2000,378.3935763
73,Greece,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,852.9177552
74,Greece,Oil products,Total energy supply (PJ),2000,-229.9469984
75,Greece,Natural gas,Total energy supply (PJ),2000,71.36550069
76,Greece,Nuclear,Total energy supply (PJ),2000,0
77,Greece,Renewables and waste,Total energy supply (PJ),2000,63.7924001
78,Greece,Electricity,Total energy supply (PJ),2000,-0.0395987544
79,Greece,Heat,Total energy supply (PJ),2000,0
80,Greece,Total,Total energy supply (PJ),2000,1136.482631
81,Hungary,"Coal, peat and oil shale",Total energy supply (PJ),2000,161.1118572
82,Hungary,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,309.7038385
83,Hungary,Oil products,Total energy supply (PJ),2000,-32.08019944
84,Hungary,Natural gas,Total energy supply (PJ),2000,404.3088006
85,Hungary,Nuclear,Total energy supply (PJ),2000,155.296907
86,Hungary,Renewables and waste,Total energy supply (PJ),2000,35.97779623
87,Hungary,Electricity,Total energy supply (PJ),2000,12.38400174
88,Hungary,Heat,Total energy supply (PJ),2000,0
89,Hungary,Total,Total energy supply (PJ),2000,1046.703006
90,Ireland,"Coal, peat and oil shale",Total energy supply (PJ),2000,108.9098258
91,Ireland,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,141.4144286
92,Ireland,Oil products,Total energy supply (PJ),2000,173.4846007
93,Ireland,Natural gas,Total energy supply (PJ),2000,143.8559987
94,Ireland,Nuclear,Total energy supply (PJ),2000,0
95,Ireland,Renewables and waste,Total energy supply (PJ),2000,9.840307216
96,Ireland,Electricity,Total energy supply (PJ),2000,0.352800702
97,Ireland,Heat,Total energy supply (PJ),2000,0
98,Ireland,Total,Total energy supply (PJ),2000,577.8579618
99,Italy,"Coal, peat and oil shale",Total energy supply (PJ),2000,525.8297244
100,Italy,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,3941.547505
101,Italy,Oil products,Total energy supply (PJ),2000,-305.1800011
102,Italy,Natural gas,Total energy supply (PJ),2000,2425.843798
103,Italy,Nuclear,Total energy supply (PJ),2000,0
104,Italy,Renewables and waste,Total energy supply (PJ),2000,434.2278116
105,Italy,Electricity,Total energy supply (PJ),2000,159.6491987
106,Italy,Heat,Total energy supply (PJ),2000,0
107,Italy,Total,Total energy supply (PJ),2000,7181.918041
108,Latvia,"Coal, peat and oil shale",Total energy supply (PJ),2000,5.502891272
109,Latvia,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,3.541501076
110,Latvia,Oil products,Total energy supply (PJ),2000,49.37800132
111,Latvia,Natural gas,Total energy supply (PJ),2000,45.73620127
112,Latvia,Nuclear,Total energy supply (PJ),2000,0
113,Latvia,Renewables and waste,Total energy supply (PJ),2000,49.85880088
114,Latvia,Electricity,Total energy supply (PJ),2000,6.429601771
115,Latvia,Heat,Total energy supply (PJ),2000,0
116,Latvia,Total,Total energy supply (PJ),2000,160.4470018
117,Lithuania,"Coal, peat and oil shale",Total energy supply (PJ),2000,3.842565491
118,Lithuania,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,210.0784803
119,Lithuania,Oil products,Total energy supply (PJ),2000,-124.2425992
120,Lithuania,Natural gas,Total energy supply (PJ),2000,86.40359869
121,Lithuania,Nuclear,Total energy supply (PJ),2000,94.00663489
122,Lithuania,Renewables and waste,Total energy supply (PJ),2000,28.24299724
123,Lithuania,Electricity,Total energy supply (PJ),2000,-4.80959906
124,Lithuania,Heat,Total energy supply (PJ),2000,5.460998152
125,Lithuania,Total,Total energy supply (PJ),2000,298.9830682
126,Luxembourg,"Coal, peat and oil shale",Total energy supply (PJ),2000,4.594493837
127,Luxembourg,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,0
128,Luxembourg,Oil products,Total energy supply (PJ),2000,84.42212022
129,Luxembourg,Natural gas,Total energy supply (PJ),2000,28.10790595
130,Luxembourg,Nuclear,Total energy supply (PJ),2000,0
131,Luxembourg,Renewables and waste,Total energy supply (PJ),2000,2.655620251
132,Luxembourg,Electricity,Total energy supply (PJ),2000,20.5506859
133,Luxembourg,Heat,Total energy supply (PJ),2000,0
134,Luxembourg,Total,Total energy supply (PJ),2000,140.3308262
135,Netherlands,"Coal, peat and oil shale",Total energy supply (PJ),2000,325.3576222
136,Netherlands,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,2637.157108
137,Netherlands,Oil products,Total energy supply (PJ),2000,-1489.759347
138,Netherlands,Natural gas,Total energy supply (PJ),2000,1465.699499
139,Netherlands,Nuclear,Total energy supply (PJ),2000,42.8290925
140,Netherlands,Renewables and waste,Total energy supply (PJ),2000,81.35211982
141,Netherlands,Electricity,Total energy supply (PJ),2000,68.09399797
142,Netherlands,Heat,Total energy supply (PJ),2000,0
143,Netherlands,Total,Total energy supply (PJ),2000,3130.730092
144,Poland,"Coal, peat and oil shale",Total energy supply (PJ),2000,2359.394078
145,Poland,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,779.1109273
146,Poland,Oil products,Total energy supply (PJ),2000,23.01939903
147,Poland,Natural gas,Total energy supply (PJ),2000,416.9925019
148,Poland,Nuclear,Total energy supply (PJ),2000,0
149,Poland,Renewables and waste,Total energy supply (PJ),2000,163.4765954
150,Poland,Electricity,Total energy supply (PJ),2000,-22.94280152
151,Poland,Heat,Total energy supply (PJ),2000,0
152,Poland,Total,Total energy supply (PJ),2000,3719.050708
153,Portugal,"Coal, peat and oil shale",Total energy supply (PJ),2000,159.3183787
154,Portugal,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,525.4348296
155,Portugal,Oil products,Total energy supply (PJ),2000,95.43640197
156,Portugal,Natural gas,Total energy supply (PJ),2000,85.15169943
157,Portugal,Nuclear,Total energy supply (PJ),2000,0
158,Portugal,Renewables and waste,Total energy supply (PJ),2000,161.0422056
159,Portugal,Electricity,Total energy supply (PJ),2000,3.351600389
160,Portugal,Heat,Total energy supply (PJ),2000,0
161,Portugal,Total,Total energy supply (PJ),2000,1029.735116
162,Slovak Republic,"Coal, peat and oil shale",Total energy supply (PJ),2000,178.8211546
163,Slovak Republic,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,225.8582993
164,Slovak Republic,Oil products,Total energy supply (PJ),2000,-107.7652008
165,Slovak Republic,Natural gas,Total energy supply (PJ),2000,241.8470981
166,Slovak Republic,Nuclear,Total energy supply (PJ),2000,179.9345461
167,Slovak Republic,Renewables and waste,Total energy supply (PJ),2000,33.9100027
168,Slovak Republic,Electricity,Total energy supply (PJ),2000,-9.705601112
169,Slovak Republic,Heat,Total energy supply (PJ),2000,0
170,Slovak Republic,Total,Total energy supply (PJ),2000,742.9003031
171,Slovenia,"Coal, peat and oil shale",Total energy supply (PJ),2000,54.67748948
172,Slovenia,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,7.031998555
173,Slovenia,Oil products,Total energy supply (PJ),2000,92.05719801
174,Slovenia,Natural gas,Total energy supply (PJ),2000,34.56540019
175,Slovenia,Nuclear,Total energy supply (PJ),2000,51.93818347
176,Slovenia,Renewables and waste,Total energy supply (PJ),2000,37.70840583
177,Slovenia,Electricity,Total energy supply (PJ),2000,-4.755601901
178,Slovenia,Heat,Total energy supply (PJ),2000,0
179,Slovenia,Total,Total energy supply (PJ),2000,273.223082
180,Spain,"Coal, peat and oil shale",Total energy supply (PJ),2000,876.7198975
181,Spain,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,2462.286601
182,Spain,Oil products,Total energy supply (PJ),2000,117.0322011
183,Spain,Natural gas,Total energy supply (PJ),2000,637.1928015
184,Spain,Nuclear,Total energy supply (PJ),2000,678.6109089
185,Spain,Renewables and waste,Total energy supply (PJ),2000,293.2624926
186,Spain,Electricity,Total energy supply (PJ),2000,15.98760144
187,Spain,Heat,Total energy supply (PJ),2000,0
188,Spain,Total,Total energy supply (PJ),2000,5081.0925
189,Sweden,"Coal, peat and oil shale",Total energy supply (PJ),2000,102.5213091
190,Sweden,"Crude, NGL and feedstocks",Total energy supply (PJ),2000,851.7113372
191,Sweden,Oil products,Total energy supply (PJ),2000,-283.5717002
192,Sweden,Natural gas,Total energy supply (PJ),2000,32.48279794
193,Sweden,Nuclear,Total energy supply (PJ),2000,625.265454
194,Sweden,Renewables and waste,Total energy supply (PJ),2000,636.6461938
195,Sweden,Electricity,Total energy supply (PJ),2000,16.8408001
196,Sweden,Heat,Total energy supply (PJ),2000,14.96686797
197,Sweden,Total,Total energy supply (PJ),2000,1996.863052
198,Austria,"Coal, peat and oil shale",Total energy supply (PJ),2001,155.9472092
199,Austria,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,403.7680838
200,Austria,Oil products,Total energy supply (PJ),2001,121.3534015
201,Austria,Natural gas,Total energy supply (PJ),2001,292.1688
202,Austria,Nuclear,Total energy supply (PJ),2001,0
203,Austria,Renewables and waste,Total energy supply (PJ),2001,291.4377638
204,Austria,Electricity,Total energy supply (PJ),2001,0.7740011556
205,Austria,Heat,Total energy supply (PJ),2001,0.1500004836
206,Austria,Total,Total energy supply (PJ),2001,1265.599256
207,Belgium,"Coal, peat and oil shale",Total energy supply (PJ),2001,310.8833773
208,Belgium,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,1400.153294
209,Belgium,Oil products,Total energy supply (PJ),2001,-438.4064013
210,Belgium,Natural gas,Total energy supply (PJ),2001,551.8106983
211,Belgium,Nuclear,Total energy supply (PJ),2001,505.6254543
212,Belgium,Renewables and waste,Total energy supply (PJ),2001,51.60879535
213,Belgium,Electricity,Total energy supply (PJ),2001,32.78160149
214,Belgium,Heat,Total energy supply (PJ),2001,0
215,Belgium,Total,Total energy supply (PJ),2001,2414.456828
216,Czech Republic,"Coal, peat and oil shale",Total energy supply (PJ),2001,886.7654249
217,Czech Republic,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,264.7728803
218,Czech Republic,Oil products,Total energy supply (PJ),2001,79.55079936
219,Czech Republic,Natural gas,Total energy supply (PJ),2001,336.2903995
220,Czech Republic,Nuclear,Total energy supply (PJ),2001,160.8981839
221,Czech Republic,Renewables and waste,Total energy supply (PJ),2001,77.52540136
222,Czech Republic,Electricity,Total energy supply (PJ),2001,-34.34040156
223,Czech Republic,Heat,Total energy supply (PJ),2001,-0.1529982324
224,Czech Republic,Total,Total energy supply (PJ),2001,1771.309694
225,Denmark,"Coal, peat and oil shale",Total energy supply (PJ),2001,176.0731107
226,Denmark,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,380.7129002
227,Denmark,Oil products,Total energy supply (PJ),2001,-40.49079819
228,Denmark,Natural gas,Total energy supply (PJ),2001,193.889699
229,Denmark,Nuclear,Total energy supply (PJ),2001,0
230,Denmark,Renewables and waste,Total energy supply (PJ),2001,96.24674874
231,Denmark,Electricity,Total energy supply (PJ),2001,-2.069999975
232,Denmark,Heat,Total energy supply (PJ),2001,0.170800506
233,Denmark,Total,Total energy supply (PJ),2001,804.5324568
234,Estonia,"Coal, peat and oil shale",Total energy supply (PJ),2001,122.2887452
235,Estonia,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,-4.980684269
236,Estonia,Oil products,Total energy supply (PJ),2001,38.60976525
237,Estonia,Natural gas,Total energy supply (PJ),2001,29.74499918
238,Estonia,Nuclear,Total energy supply (PJ),2001,0
239,Estonia,Renewables and waste,Total energy supply (PJ),2001,22.63119893
240,Estonia,Electricity,Total energy supply (PJ),2001,-2.239201123
241,Estonia,Heat,Total energy supply (PJ),2001,0
242,Estonia,Total,Total energy supply (PJ),2001,206.0548274
243,Finland,"Coal, peat and oil shale",Total energy supply (PJ),2001,260.9263206
244,Finland,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,469.065538
245,Finland,Oil products,Total energy supply (PJ),2001,-98.21639949
246,Finland,Natural gas,Total energy supply (PJ),2001,155.574898
247,Finland,Nuclear,Total energy supply (PJ),2001,248.4327252
248,Finland,Renewables and waste,Total energy supply (PJ),2001,316.8841963
249,Finland,Electricity,Total energy supply (PJ),2001,35.85240157
250,Finland,Heat,Total energy supply (PJ),2001,2.905798298
